city,lng,lat,temp,hum,cld,wnd
songwa,33.5167,-3.5167,69.24,82.0,97.0,4.72
serang,106.1502,-6.1149,93.69,52.0,20.0,14.97
sembabule,31.4567,-0.0772,67.48,76.0,100.0,1.28
sete lagoas,-44.2467,-19.4658,61.75,82.0,0.0,4.61
atocha,-66.2333,-20.9333,35.96,27.0,0.0,4.63
mbinga,35.0167,-10.9333,68.0,94.0,75.0,3.27
taupo,176.0833,-38.6833,52.0,72.0,24.0,1.99
nova floresta,-36.2033,-6.4553,66.52,97.0,39.0,9.48
coari,-63.1414,-4.085,73.67,97.0,80.0,1.3
afonso claudio,-41.1239,-20.0742,66.99,95.0,96.0,0.78
tumbes,-80.4414,-3.5667,74.37,83.0,64.0,1.88
san isidro,-77.05,-12.1167,63.14,88.0,40.0,2.3
entre rios,-38.0844,-11.9419,70.18,97.0,91.0,1.92
afaahiti,-149.2833,-17.75,80.29,74.0,20.0,4.61
tres coracoes,-45.2533,-21.6969,56.03,82.0,56.0,1.63
nazare,-39.0144,-13.035,71.65,95.0,82.0,1.52
san felix,-58.1333,-32.3333,53.02,92.0,55.0,1.01
franca,-47.4008,-20.5386,58.41,46.0,28.0,3.94
wynyard,145.7167,-41.0,57.0,71.0,39.0,18.01
barra bonita,-48.5581,-22.4947,71.01,68.0,99.0,3.0
sumber,108.4831,-6.7603,86.81,62.0,15.0,7.05
aguas formosas,-40.9358,-17.0822,67.71,92.0,56.0,2.06
bananeiras,-35.6333,-6.75,66.56,96.0,37.0,5.68
ipua,-48.0122,-20.4381,61.92,48.0,32.0,3.74
rumphi,33.8575,-11.0186,69.49,83.0,41.0,3.6
barberton,31.0532,-25.7884,59.0,82.0,0.0,3.44
sao domingos do prata,-42.9683,-19.865,62.83,90.0,91.0,1.95
barranca,-77.7667,-10.75,65.03,90.0,50.0,5.46
konza,37.1294,-1.7426,63.59,94.0,75.0,3.89
casa nova,-41.1333,-9.4167,77.0,88.0,0.0,3.44
rusape,32.1284,-18.5278,67.87,53.0,4.0,1.92
bwanga,31.7601,-3.0308,64.13,95.0,100.0,3.69
assare,-39.875,-6.8744,68.31,92.0,87.0,2.64
singaraja,115.0882,-8.112,86.31,63.0,4.0,2.8
bandung,107.6186,-6.9039,82.99,57.0,20.0,3.0
cruz alta,-53.6064,-28.6386,55.4,88.0,0.0,3.44
maryborough,152.7,-25.5333,75.99,61.0,39.0,5.01
capela,-37.0528,-10.5033,78.8,83.0,20.0,4.61
gamboma,15.8644,-1.8764,75.51,87.0,87.0,1.43
kambove,26.5969,-10.8764,64.09,78.0,81.0,4.34
malhador,-37.3047,-10.6578,78.8,83.0,20.0,4.61
santarem,-54.7083,-2.4431,75.2,100.0,75.0,6.91
sao miguel do tapuio,-41.3233,-5.5036,70.88,88.0,97.0,2.77
gilbues,-45.3439,-9.8317,70.84,90.0,100.0,1.45
patea,174.4833,-39.7583,53.2,83.0,48.0,1.99
tinde,33.2,-3.8833,69.42,81.0,81.0,3.33
tremembe,-45.5494,-22.9583,62.01,87.0,98.0,1.07
carmo do rio verde,-49.7075,-15.3536,67.68,76.0,96.0,1.19
oyotun,-79.3036,-6.8519,72.79,81.0,57.0,1.5
tigre,-58.5796,-34.426,54.82,94.0,7.0,3.44
orcotuna,-75.3333,-11.9667,47.39,86.0,94.0,0.74
francistown,27.5079,-21.17,44.6,76.0,0.0,2.3
pompeia,-50.1717,-22.1086,66.97,57.0,97.0,4.34
roebourne,117.1333,-20.7833,87.62,22.0,0.0,13.09
sarramea,165.8452,-21.6421,77.0,69.0,75.0,9.22
luwingu,29.9271,-10.2621,65.88,81.0,80.0,7.67
sertanopolis,-51.0364,-23.0586,66.2,82.0,0.0,4.61
willowmore,23.4895,-33.2926,68.97,28.0,100.0,3.91
sao geraldo do araguaia,-48.555,-6.4006,72.59,97.0,100.0,1.59
matipo,-42.3411,-20.2839,64.08,88.0,90.0,2.82
huarmey,-78.1522,-10.0681,66.9,87.0,14.0,7.54
santa isabel do para,-48.1606,-1.2986,77.0,94.0,75.0,2.3
majene,118.9707,-3.5403,87.42,61.0,93.0,8.01
itarana,-40.8753,-19.8739,69.17,96.0,89.0,0.87
rio pardo de minas,-42.5397,-15.6097,69.76,67.0,81.0,2.08
mookane,26.6595,-23.688,64.06,21.0,0.0,1.41
araci,-38.9667,-11.3333,70.18,98.0,92.0,4.14
magole,37.3667,-6.3667,73.4,94.0,75.0,2.55
ambatondrazaka,48.4167,-17.8333,71.17,79.0,100.0,5.79
keetmanshoop,18.1333,-26.5833,66.2,37.0,0.0,6.91
poso,120.7524,-1.3959,85.77,68.0,78.0,5.7
witu,40.4382,-2.3889,85.98,64.0,51.0,9.4
chuy,-53.4616,-33.6971,60.21,73.0,57.0,8.28
pilar do sul,-47.7164,-23.8131,63.84,77.0,94.0,2.68
parambu,-40.6944,-6.2111,71.11,84.0,84.0,1.79
limache,-71.2667,-33.0167,53.01,80.0,0.0,1.5
waiuku,174.75,-37.25,60.21,67.0,68.0,12.66
kalabo,22.6814,-14.97,66.52,64.0,33.0,5.99
buritis,-46.4233,-15.6178,76.51,59.0,99.0,0.94
itacoatiara,-58.4442,-3.1431,73.72,98.0,96.0,2.55
belo jardim,-36.4242,-8.3356,63.72,97.0,7.0,2.42
mojoagung,112.35,-7.5667,89.6,62.0,20.0,11.5
sao caetano de odivelas,-48.02,-0.75,74.3,97.0,89.0,4.88
waihi beach,175.9333,-37.4,60.01,74.0,51.0,7.0
