city,lng,lat,temp,hum,cld,wnd
songwa,33.5167,-3.5167,69.24,82,97,4.72
palmar de bravo,-97.5667,18.8333,57.97,76,74,5.59
pizarro,-77.366,4.9533,77.04,90,100,5.66
tielt,3.3672,51.0037,38.7,99,0,3.0
fukuma,130.4667,33.7667,67.33,21,0,11.5
caracas,-66.8792,10.488,70.23,88,40,1.14
ciocarlia,28.2833,44.1,50.07,76,0,8.05
aurich,7.4833,53.4667,35.58,86,20,2.3
xuchang,113.8167,34.0167,66.2,59,100,4.47
mandiana,-8.6833,10.6333,78.06,57,77,6.11
secuieni,27.1,46.65,39.09,87,75,11.5
gimli,-96.9907,50.6336,39.2,75,100,10.36
kernersville,-80.0736,36.1199,47.71,62,1,4.61
funadhoo,73.2667,6.15,84.04,72,16,4.25
pavagada,77.2667,14.1,91.65,27,83,4.27
serang,106.1502,-6.1149,93.69,52,20,14.97
sembabule,31.4567,-0.0772,67.48,76,100,1.28
mulanay,122.4042,13.5222,85.68,57,58,7.0
traiskirchen,16.2932,48.0149,42.3,64,100,2.75
temixco,-99.2333,18.85,70.79,72,20,4.61
sete lagoas,-44.2467,-19.4658,61.75,82,0,4.61
athabasca,-113.2854,54.7169,32.85,47,100,2.3
zapotlanejo,-103.0667,20.6333,71.1,31,40,5.75
azamgarh,83.1861,26.06,102.27,6,15,5.44
guaymitas,-87.7147,15.4979,75.99,87,86,0.94
namie,141.0,37.4833,57.99,47,78,17.09
tayum,120.6542,17.6172,87.8,58,20,10.36
taguisa,124.0358,6.6983,84.13,68,32,6.6
satun,100.0,6.8333,90.64,55,40,2.3
tibanban,126.0789,6.6295,84.0,69,88,4.14
punto fijo,-70.1996,11.6956,77.4,83,36,22.91
bozdar,68.636,27.1828,95.0,28,0,8.72
nuing,125.4353,5.6328,89.6,51,40,9.22
bancasi,125.4667,8.9667,85.87,64,77,9.71
cefalu,14.0229,38.0386,60.01,70,65,4.72
topolobampo,-109.05,25.6,64.02,79,93,3.0
daito,135.6167,34.7,62.49,22,0,9.22
princeton,-80.4089,25.5384,76.75,94,1,5.75
tuka,124.585,6.52,89.06,60,61,2.48
butterworth,100.3638,5.3991,88.23,62,40,8.05
snellville,-84.0199,33.8573,51.6,82,1,5.48
pryyutivka,33.0708,48.7209,47.05,68,87,17.52
tekanpur,78.2667,25.9833,99.97,4,20,3.04
radviliskis,23.5333,55.8167,35.6,80,90,10.36
cedar rapids,-91.6441,42.0083,43.9,53,1,13.8
donskoye,41.9741,45.4552,44.29,93,90,11.18
ibarra,-78.1167,0.35,57.2,94,90,6.91
salantai,21.5667,56.0667,37.4,81,75,5.75
naustdal,5.7168,61.509,30.34,69,0,3.44
sleaford,-0.4094,52.9983,39.74,75,90,8.05
yangmei,112.5618,24.1023,64.51,92,100,2.19
lysyye gory,44.8414,51.5506,47.97,50,91,6.96
atocha,-66.2333,-20.9333,35.96,27,0,4.63
tarlac,120.5986,15.4889,87.8,58,75,9.22
hialeah gardens,-80.3245,25.8651,77.18,83,1,6.91
loviisa,26.2251,60.4566,37.0,96,100,11.25
losevo,40.045,50.6767,48.79,48,100,5.88
